Date,Open_Interest,FM_Long,FM_Short,FM_Net,FM_WeeklyChange,FM_Pctile_3yr_Rolling,RM_Long,RM_Short,RM_Net,RM_WeeklyChange
2014-06-24,705455.0,90247.0,207264.0,-117017.0,-14938.0,11.46,327659.0,101286.0,226373.0,6686.0
2014-07-01,727127.0,95098.0,203319.0,-108221.0,8797.0,15.92,325200.0,107233.0,217967.0,-8407.0
2014-07-08,727096.0,91718.0,203177.0,-111459.0,-3237.0,14.65,324910.0,103457.0,221453.0,3486.0
2014-07-15,726972.0,97219.0,196878.0,-99659.0,11798.0,24.84,324395.0,103115.0,221280.0,-173.0
2014-07-22,739612.0,99848.0,192032.0,-92184.0,7475.0,36.94,324304.0,104516.0,219788.0,-1492.0
2014-07-29,746886.0,94760.0,195868.0,-101108.0,-8924.0,21.66,326328.0,105092.0,221236.0,1448.0
2014-08-05,746293.0,101617.0,197330.0,-95713.0,5395.0,34.39,314067.0,111188.0,202879.0,-18356.0
2014-08-12,752126.0,102676.0,201227.0,-98551.0,-2839.0,26.11,314531.0,110429.0,204102.0,1223.0
2014-08-19,764463.0,100338.0,200641.0,-100303.0,-1750.0,22.29,321460.0,108749.0,212711.0,8609.0
2014-08-26,769648.0,98406.0,193424.0,-95018.0,5284.0,36.31,321379.0,107780.0,213599.0,889.0
2014-09-02,781007.0,99904.0,197393.0,-97489.0,-2471.0,28.66,317563.0,108450.0,209113.0,-4486.0
2014-09-09,818907.0,101497.0,201461.0,-99964.0,-2475.0,22.29,316189.0,110334.0,205855.0,-3259.0
2014-09-16,949208.0,110412.0,209560.0,-99148.0,815.0,24.2,324541.0,108572.0,215969.0,10114.0
2014-09-23,687035.0,92842.0,184644.0,-91802.0,7345.0,40.13,331784.0,119206.0,212578.0,-3391.0
2014-09-30,688127.0,97024.0,186066.0,-89042.0,2760.0,45.22,325304.0,121789.0,203515.0,-9062.0
2014-10-07,683188.0,99991.0,187290.0,-87299.0,1744.0,45.86,312711.0,124733.0,187978.0,-15537.0
2014-10-14,695436.0,110243.0,183212.0,-72969.0,14330.0,66.24,309176.0,133747.0,175429.0,-12548.0
2014-10-21,720693.0,90314.0,201568.0,-111254.0,-38285.0,11.46,313014.0,128735.0,184279.0,8849.0
2014-10-28,732657.0,94575.0,195956.0,-101381.0,9873.0,17.2,316732.0,128100.0,188632.0,4354.0
2014-11-04,728520.0,105000.0,170829.0,-65829.0,35552.0,75.8,310979.0,130885.0,180094.0,-8538.0
2014-11-11,730037.0,109087.0,170183.0,-61096.0,4733.0,79.62,315427.0,127687.0,187740.0,7646.0
2014-11-18,753656.0,113399.0,170670.0,-57271.0,3825.0,85.35,327126.0,125093.0,202033.0,14293.0
2014-11-25,772687.0,113203.0,171618.0,-58415.0,-1144.0,82.8,329976.0,124090.0,205886.0,3854.0
2014-12-02,776987.0,126690.0,173582.0,-46892.0,11525.0,90.45,324297.0,123492.0,200805.0,-5082.0
2014-12-09,775987.0,124028.0,160235.0,-36207.0,10684.0,99.36,325080.0,124396.0,200684.0,-121.0
2014-12-16,832516.0,139234.0,149682.0,-10448.0,25759.0,100.0,309845.0,129603.0,180242.0,-20442.0
2014-12-23,672428.0,106588.0,140356.0,-33768.0,-23319.0,98.73,330876.0,116906.0,213970.0,33728.0
